"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"16937-8005","QB","Alex","","Smith","13.755000114440918","8","6700","TB@KC","KC","TB","","","",""
"16937-14626","WR","Doug","","Baldwin","13.055555555555555","9","6700","PHI@SEA","SEA","PHI","","","",""
"16937-33465","RB","Theo","","Riddick","14.928571428571429","7","6700","JAC@DET","DET","JAC","","","",""
"16937-32418","RB","Christine","","Michael","11.833333333333334","9","6600","PHI@SEA","SEA","PHI","","","",""
"16937-11414","QB","Sam","","Bradford","14.960000038146973","8","6600","ARI@MIN","MIN","ARI","","","",""
"16937-11485","WR","Golden","","Tate","10.022221883138021","9","6600","JAC@DET","DET","JAC","","","",""
"16937-9392","WR","Michael","","Crabtree","13.566666497124565","9","6600","HOU@OAK","OAK","HOU","","","",""
"16937-31561","WR","Donte","","Moncrief","10.449999809265137","4","6500","TEN@IND","IND","TEN","","","",""
"16937-21970","RB","Doug","","Martin","8.5","3","6500","TB@KC","TB","KC","","","",""
"16937-6639","QB","Tony","","Romo","11.914999961853027","4","6500","BAL@DAL","DAL","BAL","Q","Back","",""
"16937-29587","QB","Cody","","Kessler","10.605713980538505","7","6500","PIT@CLE","CLE","PIT","","","",""
"16937-14257","WR","Randall","","Cobb","10.887499809265137","8","6500","GB@WAS","GB","WAS","","","",""
"16937-28473","RB","Carlos","","Hyde","13.342857360839844","7","6500","NE@SF","SF","NE","","","",""
"16937-28573","WR","Michael","","Thomas","12.533333672417534","9","6500","NO@CAR","NO","CAR","","","",""
"16937-11512","TE","Jimmy","","Graham","10.700000339084202","9","6500","PHI@SEA","SEA","PHI","","","",""
"16937-6803","QB","Josh","","McCown","12.466667175292969","3","6500","PIT@CLE","CLE","PIT","","","",""
"16937-22103","WR","Marvin","","Jones Jr.","12.100000169542101","9","6500","JAC@DET","DET","JAC","","","",""
"16937-21994","QB","Brock","","Osweiler","12.524444580078125","9","6400","HOU@OAK","HOU","OAK","","","",""
"16937-22994","QB","Case","","Keenum","13.428888956705729","9","6400","MIA@LA","LA","MIA","","","",""
"16937-7283","WR","Jeremy","","Maclin","8.0625","8","6400","TB@KC","KC","TB","Q","Groin","",""
"16937-22288","WR","Cole","","Beasley","11.322222391764322","9","6400","BAL@DAL","DAL","BAL","","","",""
"16937-6863","TE","Delanie","","Walker","12.044444613986546","9","6400","TEN@IND","TEN","IND","","","",""
"16937-34331","RB","Latavius","","Murray","15.228571210588727","7","6400","HOU@OAK","OAK","HOU","","","",""
"16937-14336","RB","Jacquizz","","Rodgers","9.266666412353516","6","6400","TB@KC","TB","KC","Q","Foot","",""
"16937-70324","QB","Carson","","Wentz","13.16000027126736","9","6300","PHI@SEA","PHI","SEA","","","",""
"16937-33557","TE","Tyler","","Eifert","11.050000190734863","2","6300","BUF@CIN","CIN","BUF","","","",""
"16937-24755","WR","Jamison","","Crowder","12.366667005750868","9","6300","GB@WAS","WAS","GB","","","",""
"16937-6840","RB","Frank","","Gore","14.022221883138021","9","6300","TEN@IND","IND","TEN","","","",""
"16937-54684","RB","Isaiah","","Crowell","11.9","10","6200","PIT@CLE","CLE","PIT","","","",""
"16937-54607","RB","Terrance","","West","9.188888549804688","9","6200","BAL@DAL","BAL","DAL","","","",""
"16937-22027","QB","Nick","","Foles","14","2","6200","TB@KC","KC","TB","","","",""
"16937-33076","TE","Travis","","Kelce","9.733333163791233","9","6100","TB@KC","KC","TB","","","",""
"16937-14211","RB","Mark","","Ingram","12.633332994249132","9","6100","NO@CAR","NO","CAR","","","",""
"16937-42028","WR","Will","","Fuller","9.67142813546317","7","6100","HOU@OAK","HOU","OAK","Q","Knee","",""
"16937-7859","WR","Julian","","Edelman","8.399999830457899","9","6100","NE@SF","NE","SF","","","",""
"16937-32514","QB","Trevone","","Boykin","5.400000095367432","1","6000","PHI@SEA","SEA","PHI","","","",""
"16937-25290","RB","Giovani","","Bernard","11.137499809265137","8","6000","BUF@CIN","CIN","BUF","","","",""
"16937-21959","QB","Brandon","","Weeden","11.403333028157553","6","6000","HOU@OAK","HOU","OAK","","","",""
"16937-14194","QB","Blaine","","Gabbert","15.539999389648438","5","6000","NE@SF","SF","NE","","","",""
"16937-29605","QB","Matt","","Barkley","1.1399999856948853","1","6000","CHI@NYG","CHI","NYG","","","",""
"16937-14267","QB","Ryan","","Mallett","0.029999999329447746","2","6000","BAL@DAL","BAL","DAL","","","",""
"16937-27405","QB","Landry","","Jones","3.484999895095825","4","6000","PIT@CLE","PIT","CLE","","","",""
"16937-30231","QB","Jacoby","","Brissett","9.433333079020182","3","6000","NE@SF","NE","SF","IR","Thumb","",""
"16937-25410","QB","Mike","","Glennon","9","1","6000","TB@KC","TB","KC","","","",""
"16937-54604","QB","Jimmy","","Garoppolo","8.859999656677246","4","6000","NE@SF","NE","SF","","","",""
"16937-38435","QB","Jared","","Goff","0","0","6000","MIA@LA","LA","MIA","","","",""
"16937-14704","WR","Chris","","Hogan","6.533333248562283","9","6000","NE@SF","NE","SF","","","",""
"16937-7970","QB","Charlie","","Whitehurst","10.380000114440918","1","6000","PIT@CLE","CLE","PIT","","","",""
"16937-7872","QB","Brian","","Hoyer","13.266666412353516","6","6000","CHI@NYG","CHI","NYG","IR","Forearm","",""
"16937-6844","QB","Shaun","","Hill","10.239999771118164","1","6000","ARI@MIN","MIN","ARI","","","",""
"16937-6828","RB","Tim","","Hightower","4.911111195882161","9","6000","NO@CAR","NO","CAR","","","",""
"16937-22163","WR","Rishard","","Matthews","10.230000305175782","10","6000","TEN@IND","TEN","IND","","","",""
"16937-7744","QB","Drew","","Stanton","3.265000104904175","4","6000","ARI@MIN","ARI","MIN","","","",""
"16937-7778","QB","Matt","","Cassel","0.25","2","6000","TEN@IND","TEN","IND","","","",""
"16937-29715","QB","Kevin","","Hogan","6.21999994913737","3","6000","PIT@CLE","CLE","PIT","","","",""
"16937-6739","WR","DeSean","","Jackson","7.824999809265137","8","6000","GB@WAS","WAS","GB","D","Shoulder","",""
"16937-14317","TE","Julius","","Thomas","8.050000190734863","8","5900","JAC@DET","JAC","DET","","","",""
"16937-27457","WR","Kenny","","Stills","7.888888888888889","9","5900","MIA@LA","MIA","LA","","","",""
"16937-27477","WR","Sterling","","Shepard","9.175000190734863","8","5900","CHI@NYG","NYG","CHI","","","",""
"16937-54606","WR","John","","Brown","7.5","8","5900","ARI@MIN","ARI","MIN","","","",""
"16937-31397","RB","Jeremy","","Hill","11.387499809265137","8","5900","BUF@CIN","CIN","BUF","","","",""
"16937-31047","QB","AJ","","McCarron","8.17999976021903","7","5900","BUF@CIN","CIN","BUF","","","",""
"16937-28930","RB","James","","White","8.299999660915798","9","5900","NE@SF","NE","SF","","","",""
"16937-39716","WR","Adam","","Thielen","8.266666836208767","9","5900","ARI@MIN","MIN","ARI","","","",""
"16937-34154","WR","J.J.","","Nelson","6.5","7","5800","ARI@MIN","ARI","MIN","","","",""
"16937-33260","WR","DeVante","","Parker","7.699999809265137","8","5800","MIA@LA","MIA","LA","","","",""
"16937-14757","RB","Matt","","Asiata","7.333333333333333","9","5800","ARI@MIN","MIN","ARI","","","",""
"16937-24641","WR","Sammy","","Watkins","4.650000095367432","2","5800","BUF@CIN","BUF","CIN","IR","Foot","",""
